k,density_naeem_mean,density_naeem_std,weighted_density_mean,weighted_density_std,weighted_density_threshold_mean,weighted_density_threshold_std,coverage_mean,coverage_std,weighted_coverage_mean,weighted_coverage_std,mse_weighted_density,mse_weighted_density_threshold
1,0.025,0.03861346915261564,0.02901515698004003,0.07711941616052395,0.043162994,0.13311979,0.0144,0.018128430709799456,0.015768902,0.030882781,0.9487589697234364,0.9332579340092844
2,0.04189999999999999,0.04410657547350508,0.047800631935634524,0.09534034067839096,0.10437128,0.25547546,0.0396,0.030981284673170024,0.046987794,0.06859557,0.9157734171028485,0.8674185169015667
3,0.06113333333333333,0.051424637415672006,0.0708633172944662,0.09681469343690553,0.15549715,0.32125732,0.0718,0.042623467714394146,0.087096326,0.09880858,0.8726680600143258,0.8163913279594424
4,0.08,0.0546168472176855,0.0881754344939958,0.09788679732777725,0.20865974,0.4240417,0.1216,0.051433840999870896,0.1364108,0.1176546,0.8410058633513027,0.806030768235737
5,0.10792,0.06280377058744165,0.1217153231116426,0.11609390311807649,0.2538455,0.48538226,0.18460000000000001,0.06740059346919729,0.22284113,0.16190997,0.7848617679980757,0.7923424453111672
6,0.13716666666666666,0.07628364467200321,0.15875551690875034,0.13732540568802853,0.28282484,0.44615045,0.24559999999999998,0.07889638775001045,0.29381114,0.18196803,0.7265505473788454,0.7133904220756273
7,0.16757142857142854,0.08501656501253511,0.1918228080143795,0.16395324656033658,0.32739726,0.4694552,0.31360000000000005,0.08531729015856049,0.3619011,0.18801963,0.6800310407034369,0.6727826536299029
8,0.19717500000000002,0.09256798515145503,0.229798928851939,0.19142702357050834,0.37229747,0.43809816,0.38380000000000003,0.09768090908667874,0.45095584,0.19349867,0.6298539953506845,0.5859404823543493
9,0.2321333333333333,0.10348229168006487,0.2733953060227594,0.2222895579770293,0.40508538,0.41522393,0.4488,0.09912900685470424,0.5310552,0.18289182,0.5773670288953825,0.5263343046853244
10,0.26818000000000003,0.11380196659109193,0.3139537701681258,0.24465876941929643,0.4336383,0.39828214,0.5164,0.10140532530395038,0.58996046,0.17918861,0.5305173429202932,0.4793942276215981
11,0.3069636363636363,0.12629522150582978,0.36514727349603665,0.282497890284939,0.4656467,0.38168752,0.5840000000000001,0.10954451150103323,0.6487051,0.17014998,0.48284304236495756,0.4312188090256095
12,0.34779999999999994,0.1374853285101925,0.4106720475009268,0.3006221354296462,0.4921445,0.3620569,0.6509999999999999,0.10999545445153633,0.71360964,0.16022892,0.4376811039070304,0.3890024158039944
13,0.38943076923076914,0.14417094636280894,0.46175781254519954,0.3087029507545855,0.5192232,0.3509596,0.7092000000000002,0.10937714569323885,0.7708726,0.14440212,0.3850021641607166,0.3543189669808271
14,0.43004285714285706,0.15366123022242595,0.5006245576472276,0.3208249889341648,0.5422664,0.343896,0.7595999999999999,0.10311081417581765,0.80875945,0.13469599,0.35230450594963414,0.3277844815785933
15,0.4709333333333333,0.16450145558288803,0.5474603612350644,0.3436312347746385,0.57125264,0.34112972,0.8038,0.09681714724159145,0.8485623,0.12053704,0.32287455016624117,0.300193788529473
