k,density_naeem_mean,density_naeem_std,weighted_density_mean,weighted_density_std,weighted_density_threshold_mean,weighted_density_threshold_std,coverage_mean,coverage_std,weighted_coverage_mean,weighted_coverage_std,mse_weighted_density,mse_weighted_density_threshold
1,0.542,0.09271461589199408,0.5419999838471414,0.0927146131288832,0.281898,0.056775946,0.316,0.04882622246293481,0.29856247,0.04771681,0.2183600142836572,0.5188940019413915
2,0.595,0.08935882720806042,0.5838489506997332,0.08768413025409219,0.377286,0.06274378,0.5800000000000001,0.07429670248402684,0.5650741,0.07694893,0.1808702025321297,0.3917095238273882
3,0.6033333333333333,0.11024215769538137,0.5947766680214892,0.10867866833628481,0.4657773,0.08898156,0.72,0.0737563556583431,0.7021391,0.076041505,0.17601700173111456,0.2933116029466385
4,0.5965,0.10835243421354224,0.5853357513068282,0.10632448195525132,0.4695441,0.08820275,0.7899999999999999,0.08111719916269299,0.7748397,0.09107411,0.18325133460732518,0.28916317421724
5,0.5940000000000001,0.09937806599043877,0.5854415362699206,0.09794620812285523,0.502511,0.08437172,0.8400000000000001,0.06131883886702356,0.82530034,0.07138153,0.18145217953588927,0.25461386861661595
6,0.6116666666666666,0.09935626133599566,0.6036748238936955,0.09805810392056105,0.524309,0.092965536,0.9360000000000002,0.042708313008125234,0.93021345,0.052482054,0.1666890369601888,0.23492453757834042
7,0.6077142857142857,0.10124167892237075,0.6026136817464262,0.10039194785406573,0.5215426,0.0961198,0.9560000000000001,0.03878143885933062,0.95021725,0.047952466,0.16799442912906412,0.23816049135405493
8,0.6265000000000001,0.0971738133449542,0.6226881301908154,0.09658257004833336,0.5570951,0.0955855,0.9880000000000001,0.02399999999999999,0.9847909,0.0340077,0.1516924399360443,0.20530132952973545
9,0.6446666666666666,0.10383961992739893,0.6404903393783579,0.10316691842019562,0.56371343,0.09541281,1.0,0.0,1.0,0.0,0.1398906091366076,0.19944957550082165
10,0.6517999999999999,0.10788679251882502,0.6488978849487925,0.10740643062193121,0.56678313,0.09646901,1.0,0.0,1.0,0.0,0.13480883653237505,0.19698312507276583
11,0.6661818181818182,0.11056040568750244,0.6631296082459215,0.11005385693527568,0.5725622,0.095897615,1.0,0.0,1.0,0.0,0.12559351226687646,0.19189941087188345
12,0.6691666666666666,0.10624722218591047,0.6675002353807957,0.10598263384954061,0.59085643,0.09276758,1.0,0.0,1.0,0.0,0.12178841214951204,0.17600428327070006
13,0.6793846153846155,0.1101353658756716,0.6773835280955208,0.1098109686553889,0.6118766,0.09752235,1.0,0.0,1.0,0.0,0.11613983678112841,0.16015037662943143
14,0.6814285714285713,0.10792854779237711,0.6811078366694986,0.10787774798998445,0.62344456,0.102449045,1.0,0.0,1.0,0.0,0.11332982034499778,0.15228980762276478
15,0.7071999999999999,0.10948477316757592,0.7078921593296011,0.10959192942775296,0.6498572,0.10315953,1.0,0.0,1.0,0.0,0.09733738157682072,0.1332418539081779
16,0.724125,0.10720169366665806,0.7242045973534389,0.10721347750384096,0.6695531,0.098967746,1.0,0.0,1.0,0.0,0.08755783387944538,0.11898976729500887
17,0.735764705882353,0.10759555180473815,0.7367197711192565,0.10773521706776666,0.69283426,0.09921444,1.0,0.0,1.0,0.0,0.0809233559161355,0.10419429799721058
18,0.7594444444444444,0.10086324931177065,0.7603876211484155,0.1009885143890697,0.7025835,0.09686005,1.0,0.0,1.0,0.0,0.06761277213742659,0.09783844915640216
19,0.7594736842105263,0.0980352698135922,0.7600687802593437,0.09811208669734171,0.70928633,0.0912229,1.0,0.0,1.0,0.0,0.06719297176234582,0.09283605348481672
20,0.7667,0.09428897072298537,0.7689432946668563,0.09456485170011628,0.7230979,0.091151364,1.0,0.0,1.0,0.0,0.062329712256472186,0.08498333250896906
21,0.7749523809523808,0.09697656167723842,0.7765332297833518,0.0971743871022931,0.7206497,0.088073604,1.0,0.0,1.0,0.0,0.05938025889976655,0.08579353900859132
22,0.7791818181818182,0.09506278916746302,0.7784408049581847,0.09497238307455269,0.7311883,0.08766588,1.0,0.0,1.0,0.0,0.05810823045443674,0.07994503800568964
23,0.7999999999999999,0.09319126824102411,0.7979621688531945,0.09295388315473431,0.751197,0.08735909,1.0,0.0,1.0,0.0,0.049459709608049095,0.06953455360304872
24,0.818,0.09047267850326725,0.8169865791549575,0.09036059183052636,0.7662877,0.086177565,1.0,0.0,1.0,0.0,0.04165894876536762,0.06204801894206469
25,0.8284800000000001,0.09224745850157608,0.8263216490697849,0.09200713599787427,0.7786749,0.08540899,1.0,0.0,1.0,0.0,0.038629482656370284,0.056279495479007124
26,0.8423846153846153,0.09188521911125999,0.8407095398700489,0.0917025060394958,0.7958627,0.086295485,1.0,0.0,1.0,0.0,0.0337828003023353,0.04911895876125527
27,0.8432592592592592,0.08820116675071002,0.8421201907370554,0.08808202525114839,0.8037424,0.08762265,1.0,0.0,1.0,0.0,0.03268447734524772,0.046194771363843756
28,0.8517857142857143,0.08950045604717922,0.8480727658738696,0.0891103220374554,0.8086395,0.08591933,1.0,0.0,1.0,0.0,0.031022533962835053,0.04400096205063164
29,0.8655862068965516,0.08952481238904493,0.8604700607026283,0.08899566575464085,0.8171895,0.085999556,1.0,0.0,1.0,0.0,0.027388832483439977,0.04081559762764542
30,0.8651333333333333,0.08488373748185743,0.8601369256085023,0.08439350812029443,0.82914436,0.084461875,1.0,0.0,1.0,0.0,0.026683943791091822,0.036325458173237735
31,0.8618064516129031,0.08422150073623899,0.8552838123345069,0.08358406472289802,0.8294996,0.081609145,1.0,0.0,1.0,0.0,0.027929070848035822,0.035730438184955915
32,0.8668125,0.08140871517380682,0.8604306330009948,0.08080934726806116,0.82984924,0.0800728,1.0,0.0,1.0,0.0,0.026009758810393118,0.03536293306387961
33,0.8724848484848484,0.0775815338758571,0.8664012333283534,0.0770405775530385,0.8381442,0.077983126,1.0,0.0,1.0,0.0,0.023783881045890812,0.03227867328816103
34,0.8853529411764705,0.07438302165168209,0.8804097301521476,0.07396771725097327,0.83954066,0.07476759,1.0,0.0,1.0,0.0,0.019773055837602076,0.03133739171315497
35,0.889257142857143,0.07086119804064206,0.8842619372906843,0.07046315091361958,0.853963,0.071924716,1.0,0.0,1.0,0.0,0.018360354796381033,0.026499964688142086
36,0.8967777777777777,0.06785824003568572,0.8915705160642382,0.06746421196759328,0.86233485,0.067737885,1.0,0.0,1.0,0.0,0.01630837288298398,0.02354011519504695
37,0.9027027027027028,0.06467539896711795,0.8966237932078304,0.06423986698555993,0.87003183,0.06553884,1.0,0.0,1.0,0.0,0.014813400641059852,0.02118706360693068
38,0.9123684210526315,0.06154036128007371,0.9073712769719195,0.06120329782522418,0.8752693,0.06271175,1.0,0.0,1.0,0.0,0.012325923994495933,0.019490512895245615
39,0.917128205128205,0.059986498590509855,0.9126434432328543,0.05969316428718134,0.8852536,0.05944608,1.0,0.0,1.0,0.0,0.011194441872827973,0.01670057087912724
40,0.9181999999999999,0.056650772280702394,0.914208267767355,0.05640449182577201,0.8904778,0.05837245,1.0,0.0,1.0,0.0,0.010541688017601445,0.015402460259466011
41,0.9194146341463414,0.05324845516439334,0.9160163817690483,0.05305164332060798,0.8928245,0.05421782,1.0,0.0,1.0,0.0,0.009867724990179249,0.01442616587641865
42,0.9213809523809523,0.04975743885177805,0.9179420609092611,0.0495717280101567,0.89490414,0.05105915,1.0,0.0,1.0,0.0,0.009190861585732367,0.01365217733928148
43,0.9246511627906976,0.04687393770204257,0.92221776260724,0.04675057977724501,0.9039303,0.04573417,1.0,0.0,1.0,0.0,0.008235693163332225,0.011321000551234306
44,0.926590909090909,0.042702725056754064,0.9250834763549618,0.04263325374526893,0.90560675,0.04297224,1.0,0.0,1.0,0.0,0.007430079839966056,0.010756699635976474
45,0.9378222222222222,0.03700247572631516,0.9369341052023579,0.036967434406445634,0.911301,0.039108224,1.0,0.0,1.0,0.0,0.005343898293222125,0.009396962708834167
46,0.9502173913043478,0.033896456367197285,0.9500542130897651,0.033890635422136384,0.9227885,0.035098784,1.0,0.0,1.0,0.0,0.0036431567993987553,0.0071935401251863595
47,0.9524680851063829,0.02937283168653732,0.9521964145101769,0.02936445373159969,0.93089235,0.031760044,1.0,0.0,1.0,0.0,0.0031474539286380854,0.005784567871515378
48,0.9605,0.02434403303572451,0.9607838289328015,0.02435122672746482,0.9370121,0.026533807,1.0,0.0,1.0,0.0,0.0021308903163041776,0.004671521426772074
