k,density_naeem_mean,density_naeem_std,weighted_density_mean,weighted_density_std,weighted_density_threshold_mean,weighted_density_threshold_std,coverage_mean,coverage_std,weighted_coverage_mean,weighted_coverage_std,mse_weighted_density,mse_weighted_density_threshold
1,0.6039999999999999,0.16894969665554302,0.6039999916367241,0.16894970826338845,0.29917955,0.09088394,0.368,0.08863407922464134,0.41106606,0.10358725,0.18536001054599863,0.4994091881528675
2,0.6289999999999999,0.1307249019888713,0.6590277436349654,0.14597039076110854,0.41483077,0.08404494,0.604,0.08935323161475471,0.6366608,0.10176121,0.1375694345896136,0.3494865747827953
3,0.646,0.13647791844185717,0.6674938547971483,0.13455580040581128,0.4964338,0.09765535,0.75,0.08111719916269297,0.7705275,0.08253922,0.12866560002050842,0.2631154904673316
4,0.6385,0.12381538676594278,0.6701023455938764,0.13560172007551008,0.5548054,0.10871863,0.85,0.07113367697511495,0.8655797,0.069838844,0.12722028887009917,0.21001797534985656
5,0.6559999999999999,0.11990663034211248,0.6942215776155931,0.13167287976006714,0.5979186,0.118905164,0.9179999999999999,0.054,0.9293319,0.044424757,0.11083819086020585,0.1758078661930682
6,0.6693333333333332,0.121708212084842,0.7118824225908444,0.14296255746744374,0.6235683,0.11954523,0.9480000000000001,0.03919183588453083,0.95489156,0.034321297,0.1034500312497529,0.15599188853917667
7,0.671142857142857,0.12036305623455414,0.7131879689369659,0.14113146614732439,0.6336271,0.117637746,0.9720000000000001,0.022271057451320082,0.97499216,0.020688456,0.1021792318993962,0.14806772818363712
8,0.6817500000000001,0.11161905079331216,0.7305204359912529,0.13534951886769564,0.64958656,0.122710906,0.986,0.015620499351813323,0.98810375,0.013968694,0.09093872767606109,0.13784754620770912
9,0.6862222222222221,0.10170302931987571,0.7338151583265313,0.12402453029257526,0.66143256,0.120277256,0.9960000000000001,0.008000000000000007,0.9966194,0.0067699067,0.08623645405102351,0.1290945267322492
10,0.6994,0.10459464613449392,0.7498389782061501,0.12713028749096197,0.68236804,0.1183036,0.998,0.0060000000000000045,0.9983867,0.004839893,0.0787426468224777,0.11488580345354649
11,0.7092727272727274,0.10270216909681155,0.7559318596012238,0.11759620961021235,0.69739705,0.11757253,1.0,0.0,1.0,7.052517e-08,0.07339812567240574,0.10539184398684043
12,0.7153333333333334,0.10667135406367434,0.7638420108228687,0.11944152367426802,0.70462656,0.12195364,1.0,0.0,1.0,7.052517e-08,0.07003687342981678,0.10211815866409779
13,0.714923076923077,0.10348038146968937,0.7631646410603151,0.11962028540193544,0.70547163,0.11874377,1.0,0.0,1.0,7.052517e-08,0.07039999992372986,0.1008470400878565
14,0.7122857142857142,0.10193275094043971,0.7618456336359598,0.11864094066216137,0.71275944,0.12275568,1.0,0.0,1.0,7.052517e-08,0.07079317501945998,0.09757609779939358
15,0.7212,0.10314425712456207,0.770180167872373,0.11936994709848611,0.7205161,0.11812695,1.0,0.0,1.0,7.052517e-08,0.06706633950946604,0.09206523472768424
16,0.7264999999999999,0.10328177477173793,0.7709994683233454,0.11747700597588313,0.72886145,0.11906626,1.0,0.0,1.0,7.052517e-08,0.06624209044124815,0.08769288651173213
17,0.738,0.10530962751362681,0.7821089335726396,0.1171094082528314,0.73870814,0.11828162,1.0,0.0,1.0,7.052517e-08,0.06119113033018074,0.08226397789270834
18,0.7446666666666666,0.10775005370798693,0.7883632450957014,0.11994122410659892,0.7454151,0.11913233,1.0,0.0,1.0,7.052517e-08,0.059176013266611524,0.0790059878874132
19,0.7465263157894737,0.10610902248979401,0.7890106120993886,0.11603297068277413,0.7491082,0.11724794,1.0,0.0,1.0,7.052517e-08,0.05798017209214418,0.07669377696107915
20,0.7506000000000002,0.10318643321677518,0.7934647455564672,0.11597456218780837,0.7509034,0.11084664,1.0,0.0,1.0,7.052517e-08,0.056106910402708675,0.07433608022344984
21,0.7588571428571427,0.10012853417487481,0.802506990010652,0.11337049871844562,0.7610963,0.116054974,1.0,0.0,1.0,7.052517e-08,0.0518563589743218,0.07054373576918138
22,0.766,0.10654002468323412,0.808158456233955,0.1141370742397135,0.7658051,0.116089724,1.0,0.0,1.0,7.052517e-08,0.04983044963054123,0.06832406375339417
23,0.7697391304347826,0.10770877208529016,0.8124929170523083,0.11926287917065166,0.77154696,0.107035734,1.0,0.0,1.0,7.052517e-08,0.04938254050362599,0.06364743942926054
24,0.77525,0.10334546299776406,0.8177020464174957,0.1170186181333664,0.77524865,0.10354262,1.0,0.0,1.0,7.052517e-08,0.046925900870211534,0.061234245211167604
25,0.7804,0.10488256289774771,0.8223312125768739,0.11536647754002824,0.7826074,0.104021475,1.0,0.0,1.0,7.052517e-08,0.044875622164397805,0.05808002067576368
26,0.7863076923076923,0.10013588400904139,0.8263917153912331,0.11140145647344728,0.7850943,0.09825504,1.0,0.0,1.0,7.052517e-08,0.042550120989203966,0.05583850351911579
27,0.7907407407407409,0.0981833619568904,0.8308900207359775,0.11134277574767616,0.78486943,0.0961393,1.0,0.0,1.0,7.052517e-08,0.04099539879787542,0.055523925768795834
28,0.7923571428571428,0.0978926160939337,0.829141149349762,0.10832346766024498,0.78928626,0.09713353,1.0,0.0,1.0,7.052517e-08,0.04092672049146047,0.05383520457770885
29,0.7981379310344827,0.09846046787239243,0.8315050042818679,0.10527681920179227,0.7910217,0.09279133,1.0,0.0,1.0,7.052517e-08,0.039473772243300204,0.052282157856680556
30,0.8032,0.09478246438849096,0.8348374578364719,0.10253123369989439,0.79434884,0.0895447,1.0,0.0,1.0,7.052517e-08,0.03779131921794156,0.05031065371692023
31,0.8112903225806452,0.09323473559202983,0.8406718815543754,0.09581131574618251,0.8013088,0.08864691,1.0,0.0,1.0,7.052517e-08,0.03456525755243765,0.04733646413697912
32,0.8163750000000001,0.09209107245004806,0.8473079891004025,0.09510249909659083,0.80716574,0.08890687,1.0,0.0,1.0,7.052517e-08,0.03235933552697986,0.045089481940422615
33,0.8226060606060607,0.08957405583326329,0.8524356256719955,0.09455799146378277,0.81515676,0.08219137,1.0,0.0,1.0,7.052517e-08,0.03071645832048025,0.04092244557913105
34,0.8296470588235293,0.08726930042029529,0.8599669667446996,0.09644946559551841,0.82067215,0.080105364,1.0,0.0,1.0,7.052517e-08,0.028911749816341148,0.03857534554778397
35,0.8377142857142857,0.08402526345069786,0.8673091620754116,0.09271145258064888,0.8283777,0.08352735,1.0,0.0,1.0,7.052517e-08,0.02620227190874328,0.036431023924706096
36,0.8439444444444444,0.08236266159305052,0.8742053257529074,0.09364879379717188,0.8333154,0.08239527,1.0,0.0,1.0,7.052517e-08,0.024594396648597354,0.034572745271589156
37,0.8502702702702702,0.07783070537892396,0.8784796119560909,0.08787794942054537,0.8417946,0.079500645,1.0,0.0,1.0,7.052517e-08,0.022489738704702174,0.03134929808369691
