k,density_naeem_mean,density_naeem_std,weighted_density_mean,weighted_density_std,weighted_density_threshold_mean,weighted_density_threshold_std,coverage_mean,coverage_std,weighted_coverage_mean,weighted_coverage_std,mse_weighted_density,mse_weighted_density_threshold
1,0.917,0.20890428430264427,1.0313024863359097,0.1440091214528084,0.533814,0.080047764,0.5080000000000001,0.07304792947099871,0.52916634,0.10385983,0.021718472712419532,0.22373701907082832
2,0.8879999999999999,0.2444606307772276,0.9442179186188184,0.20645353703201638,0.66284776,0.13138261,0.739,0.08949301648732151,0.75491387,0.10700952,0.045734703556246925,0.1309330243739737
3,0.8546666666666665,0.23757197739726046,0.8851639247760368,0.21871495799822274,0.6842505,0.16060357,0.8539999999999999,0.07255342858886822,0.86907464,0.073214345,0.06102355702500808,0.125491267154203
4,0.8487500000000001,0.23355740728994231,0.8576331075885953,0.213157218615733,0.6911482,0.15457878,0.923,0.050209560842532766,0.92882156,0.048304107,0.06570433190287586,0.11928401793199228
5,0.8384,0.22609697034679613,0.8501076112540954,0.21883529360888976,0.70222485,0.15882137,0.959,0.032388269481403276,0.9628898,0.029377144,0.07035661393284237,0.1138942688885578
6,0.8358333333333332,0.21731090119406746,0.8423015306850102,0.2147224671702237,0.7276574,0.1684649,0.9799999999999999,0.024494897427831782,0.9819681,0.022038184,0.07097454513195857,0.10255092396937826
7,0.8214285714285714,0.21214838857627505,0.8296361593659759,0.20175469635655063,0.7368474,0.17920308,0.9879999999999999,0.019390719429665332,0.9892975,0.01743694,0.06972879569749911,0.10136303634521937
8,0.8182499999999999,0.20248317831365648,0.8272528184688133,0.19233584605907847,0.72888386,0.16819611,0.9940000000000001,0.008000000000000007,0.99468917,0.0071503306,0.06683466640623031,0.10179389277301709
9,0.821,0.20213823042049925,0.8259465360417829,0.18757396007120458,0.73505926,0.1709805,0.998,0.0040000000000000036,0.99819803,0.0036050319,0.06547859881264823,0.09942792611241202
10,0.8186,0.19807281489391723,0.8261686209725754,0.18704404531176033,0.73338276,0.16517267,0.998,0.0040000000000000036,0.99819803,0.0036050319,0.06520282322116401,0.0983667626407545
11,0.8115454545454546,0.19683447339669793,0.8204122701012201,0.1845498430727201,0.73536193,0.16503388,1.0,0.0,1.0,8.840798e-08,0.06631039730836275,0.09726948837329985
