k,density_naeem_mean,density_naeem_std,weighted_density_mean,weighted_density_std,weighted_density_threshold_mean,weighted_density_threshold_std,coverage_mean,coverage_std,weighted_coverage_mean,weighted_coverage_std,mse_weighted_density,mse_weighted_density_threshold
1,1.0195999999999998,0.20421518063062796,1.0195999727665608,0.20421517747675164,1.7218709,1.2284979,0.5032,0.07270323239031398,0.46701568,0.4519875,0.0420879976443111,2.0303047245909056
2,1.0131000000000003,0.14740213702657093,1.6837182699178035,0.5244945747477067,1.4564476,0.81165516,0.7519999999999999,0.07177743377970543,0.7658473,0.3738282,0.7425652315591721,0.8671285042219097
3,1.013,0.137715891118878,2.134299022271039,0.9006297168460995,1.3773288,0.7487588,0.8781999999999998,0.05536027456579311,0.9147791,0.24780566,2.097768158791321,0.7030167272328214
4,1.0129499999999998,0.12598629885824886,2.3594861249075865,1.1494084206280573,1.3120706,0.68497914,0.9354,0.048154335215014644,0.9367653,0.22495717,3.1693422412269308,0.5665845032536367
5,1.0166399999999998,0.12312558791737808,2.5625005822856157,1.3631950296009792,1.268367,0.6121029,0.9698,0.03130431280191277,0.95420873,0.1983141,4.299708758371703,0.4466908735253696
6,1.0207000000000002,0.1245447666057827,2.7611712358269087,1.5249144111434179,1.2103133,0.53350925,0.9856,0.021555509736491976,0.9834963,0.116716444,5.427088083216958,0.3288638389951757
7,1.018942857142857,0.12467142447903871,3.045083964930497,1.8156948584937813,1.1637197,0.42780358,0.9936000000000001,0.012924395537122824,0.99095476,0.08942939,7.479116242776594,0.20982002300320346
8,1.0213,0.12678992467858005,3.1989605437622415,2.065944337348997,1.1138713,0.36951068,0.9978,0.007947326594522217,0.99994355,0.0005540782,9.10355347804752,0.14950481418378558
9,1.0229777777777778,0.1219427997864289,3.2907222987565827,2.2581249853427092,1.0906008,0.3590499,0.9994,0.003411744421846398,0.9999993,6.76227e-06,10.346537099449653,0.13712532861747206
10,1.0251599999999998,0.11976983927516976,3.296375741930388,2.2330035520772227,1.0546772,0.35424036,0.9998,0.0019899748742132416,1.0,5.7480637e-08,10.259646411715833,0.1284758412398901
11,1.0292727272727271,0.12000206609791597,3.4893598014237144,2.5042854455924837,1.0516059,0.35446548,0.9998,0.0019899748742132416,1.0,5.7480637e-08,12.46835781395066,0.12830895955318056
12,1.0248833333333334,0.11915845076572995,3.616424195901833,2.7541367231277216,1.037511,0.34287786,1.0,0.0,1.0,5.7480637e-08,14.430944662581256,0.1189722965375637
13,1.024323076923077,0.11749872364911715,3.560765036558533,2.673144469126803,1.0099934,0.3242681,1.0,0.0,1.0,5.7480637e-08,13.703218925283842,0.1052496742679665
14,1.0249857142857142,0.11519504223317095,3.5694867844040887,2.7506796357056786,0.99489266,0.3170885,1.0,0.0,1.0,5.7480637e-08,14.16850079351319,0.10057121562460125
15,1.0239333333333334,0.11704470181183863,3.6352279318270306,3.0069917568718814,0.9889383,0.3126633,1.0,0.0,1.0,5.7480637e-08,15.986425678576813,0.09788069968169921
16,1.0234250000000003,0.11479732411951074,3.6478653191031856,3.1568357280722865,0.98244256,0.31272304,1.0,0.0,1.0,5.7480637e-08,16.9768025621431,0.09810395884264622
