k,density_naeem_mean,density_naeem_std,weighted_density_mean,weighted_density_std,weighted_density_threshold_mean,weighted_density_threshold_std,coverage_mean,coverage_std,weighted_coverage_mean,weighted_coverage_std,mse_weighted_density,mse_weighted_density_threshold
1,0.3698,0.09004421136308541,0.6400424811399678,0.3918471064530675,0.5958111,0.3016426,0.23560000000000003,0.04600695599580568,0.384055,0.29082114,0.28311357021951206,0.25435690723821835
2,0.37750000000000006,0.08030410948388632,0.5507835153305656,0.29253807695881123,0.66148204,0.2599818,0.4042000000000001,0.06622960063294961,0.71905434,0.2396526,0.28737397656952357,0.18218494656074213
3,0.3999333333333334,0.074060005701083,0.5899060317018734,0.2953478244750119,0.6397895,0.25164926,0.547,0.07533259586659682,0.87168914,0.089071564,0.25540740025662734,0.19307893840369061
4,0.3958499999999999,0.0667459923890566,0.5698365104584469,0.24003895330007247,0.62087387,0.22471595,0.6244,0.06896839856050015,0.9037547,0.06957465,0.24265932683596025,0.1942338835570503
5,0.41572,0.06760178695863,0.5357910325766614,0.21185395456295122,0.6291371,0.20391887,0.6923999999999999,0.06479382686645387,0.9359851,0.016993456,0.26037206350020325,0.1791221999758399
6,0.4438666666666668,0.06685593134162111,0.6319612759116625,0.22122670491452623,0.43896434,0.13315044,0.7550000000000001,0.06022457969965419,0.95084494,0.012762718,0.18439375739591027,0.33249005713176505
7,0.45885714285714285,0.06672392099279734,0.5947841856174941,0.20785413931261096,0.42308328,0.1271518,0.7882000000000001,0.05804101997725401,0.95799017,0.011900318,0.20740319945506375,0.3490004861612883
8,0.459975,0.06591708333201646,0.5724034726443962,0.19691919701216729,0.40937465,0.120015115,0.8194,0.056741871664582944,0.9642187,0.011525708,0.2216159603584884,0.36324192717683346
9,0.4655777777777777,0.06655137809186167,0.5895475218189586,0.19718869979990855,0.41185465,0.11861194,0.8506000000000001,0.057303054019833884,0.9703775,0.011647574,0.20735462017373668,0.35998373901663516
10,0.4737800000000001,0.06648241572024892,0.6438630559455316,0.21134767030228044,0.4175829,0.11799508,0.8749999999999999,0.049749371855331,0.9753367,0.009840117,0.17150136066265698,0.3531325185759693
11,0.5015272727272727,0.06660936821412058,0.618724527111752,0.19248162564294083,0.4079323,0.11363674,0.8966000000000001,0.042993487878980004,0.97959197,0.008488208,0.18242016243630638,0.3634574561131112
12,0.5178333333333334,0.06552077702700282,0.6455553569170224,0.1961148569581004,0.40389502,0.112132154,0.9181999999999999,0.03383430212077676,0.9838892,0.0066694776,0.16409204212991557,0.3679147669071341
13,0.5216615384615386,0.0659376359473065,0.6595398757154858,0.20601946577737057,0.39050072,0.1084175,0.9416,0.031327942798722024,0.9884982,0.006172537,0.15835711650702003,0.38324372245310556
14,0.5358428571428572,0.06642199506617841,0.6837101262967623,0.20986372029429182,0.39001334,0.10822118,0.9490000000000001,0.028195744359743355,0.9899567,0.005552537,0.1440820653029708,0.38379555262680753
15,0.5424533333333333,0.06730777600776236,0.6659404305457302,0.19918112564078239,0.38413495,0.10702926,0.9562,0.027378093432523738,0.9913745,0.0053914594,0.15126891675550128,0.39074502497371455
16,0.555425,0.06815703833794423,0.6867564892184279,0.2031444669419898,0.38413495,0.10702926,0.9623999999999999,0.025966131787387974,0.99259543,0.005113427,0.13938917149591007,0.39074502497371455
17,0.5603294117647057,0.06853344194157959,0.7165267622850982,0.20654848369034354,0.38413495,0.10702926,0.9725999999999999,0.025084656664981487,0.9946042,0.0049398746,0.12301935261534935,0.39074502497371455
18,0.5792777777777778,0.06924930360214979,0.7595387890282147,0.213715326800109,0.38413495,0.10702926,0.9763999999999998,0.021611108254784166,0.9953526,0.004255787,0.10349583489129482,0.39074502497371455
19,0.5846631578947368,0.06857896837257828,0.7638553650853517,0.20939650519644304,0.38413495,0.10702926,0.9791999999999998,0.019374209661299747,0.9959039,0.0038152835,0.09961118498745654,0.39074502497371455
20,0.5925900000000001,0.06739155659279582,0.7475161425300033,0.19673883912682885,0.38413495,0.10702926,0.9838000000000001,0.01736548300508801,0.9968099,0.003419716,0.10245426910390185,0.39074502497371455
21,0.6128761904761905,0.06962217177538409,0.7454119962743531,0.19019351113374017,0.38413495,0.10702926,0.9876,0.015692036196746438,0.9975581,0.0030901665,0.10098862331839017,0.39074502497371455
22,0.6183,0.0690410890953429,0.699868542219006,0.1732245432709501,0.38413495,0.10702926,0.9900000000000001,0.014000000000000014,0.9980308,0.0027569605,0.12008563434117388,0.39074502497371455
23,0.6315043478260869,0.0681377294172056,0.6821209622856433,0.16245516533010051,0.38413495,0.10702926,0.9950000000000001,0.009110433579144308,0.99901545,0.0017940811,0.12743876336063567,0.39074502497371455
24,0.6353166666666666,0.06730669646393952,0.6502229046895739,0.15142152520214064,0.38413495,0.10702926,0.9964,0.008187795796183495,0.99929106,0.0016123906,0.14527249469834141,0.39074502497371455
25,0.6362880000000001,0.06594509425271906,0.6298584391753947,0.14380766033488554,0.38413495,0.10702926,0.9967999999999999,0.007858753081755408,0.9993698,0.0015475921,0.15768541822066875,0.39074502497371455
26,0.6364153846153847,0.06570232494332738,0.6071625126228252,0.13827379458052233,0.38413495,0.10702926,0.997,0.0076811457478686155,0.99940926,0.0015126142,0.1734409337565085,0.39074502497371455
27,0.6516888888888889,0.06487692939002422,0.634845309636165,0.14183784995511203,0.38413495,0.10702926,0.9976,0.006499230723708773,0.99952745,0.0012798643,0.15345592357459706,0.39074502497371455
28,0.6649357142857142,0.06436361113840267,0.6602455237139631,0.1438863345295449,0.38404942,0.10693176,0.9982000000000001,0.005723635208501679,0.99964553,0.0011271315,0.13613638142074735,0.3908295238225037
29,0.6694275862068965,0.06388135963951909,0.6764457695731673,0.14196089311587778,0.38576248,0.107436754,0.9994000000000001,0.0034117444218463994,0.9998819,0.00067186053,0.12484023520135766,0.3888303838947573
30,0.6857666666666666,0.0629997089940369,0.6852399415501006,0.1370294140000773,0.3872633,0.1078061,0.9994000000000001,0.0034117444218463994,0.9998819,0.00067186053,0.11785095469658868,0.38706842102055816
31,0.6951483870967742,0.06254601502763919,0.6778264878106832,0.13101179499099608,0.39628455,0.10940702,0.9996,0.0028000000000000026,0.99992126,0.00055139355,0.12095986238316263,0.3764422410161794
32,0.7124812500000002,0.06236951723147695,0.7022351838694153,0.1304921904279742,0.41590476,0.11450922,0.9998,0.0019899748742132416,0.99996066,0.0003918814,0.10569209748797159,0.3542796095808285
33,0.7167333333333334,0.06117075680096909,0.7148315857031211,0.1282447747012413,0.4482143,0.11554838,0.9998,0.0019899748742132416,0.99996066,0.0003918814,0.09776774675076849,0.3178188952948062
