k,density_naeem_mean,density_naeem_std,weighted_density_mean,weighted_density_std,weighted_density_threshold_mean,weighted_density_threshold_std,coverage_mean,coverage_std,weighted_coverage_mean,weighted_coverage_std,mse_weighted_density,mse_weighted_density_threshold
1,0.2395,0.022577643809751267,0.2395,0.022577643809751267,0.1879854,0.018072106,0.14100000000000001,0.014525839046333944,0.14099999,0.01452584,0.5788699999999999,0.6596943029954618
2,0.243,0.022516660498395402,0.243,0.022516660498395402,0.21443495,0.019323813,0.23299999999999998,0.019261360284258226,0.23299998,0.01926136,0.5735560000000001,0.617485855096839
3,0.23933333333333331,0.02818194851713101,0.23933333333333334,0.028181948517131003,0.22004774,0.025362529,0.3035,0.031964824416849225,0.30349997,0.03196482,0.5794079999999999,0.6089687824256638
4,0.252375,0.02302138951062685,0.252375,0.02302138951062685,0.23703888,0.022099,0.367,0.03128897569432402,0.36699998,0.03128897,0.5594731249999999,0.5825980355040352
5,0.269,0.022707707942458674,0.269,0.02270770794245866,0.23703888,0.022099,0.42300000000000004,0.035763109484495334,0.42299998,0.035763107,0.53487664,0.5825980355040352
6,0.2781666666666667,0.021668589658253665,0.2781666666666667,0.021668589658253672,0.25608164,0.020895856,0.473,0.03235737937472687,0.47299993,0.032357387,0.5215128888888888,0.5538511620671933
7,0.28235714285714286,0.02384206110115105,0.28235714285714286,0.02384206110115106,0.26790994,0.020718893,0.509,0.038974350539810174,0.509,0.038974363,0.5155797142857144,0.5363851225452017
8,0.2895,0.0216794833886788,0.2895,0.0216794833886788,0.28120536,0.020843124,0.543,0.044665422868254576,0.543,0.044665445,0.50528025,0.5171001759148659
9,0.2997222222222222,0.0213367329467167,0.2997222222222222,0.02133673294671671,0.28120536,0.020843124,0.5765,0.0478513322698543,0.57649994,0.047851343,0.4908442222222222,0.5171001759148659
10,0.30585,0.02201448386858071,0.30585,0.0220144838685807,0.29242927,0.020807441,0.6040000000000001,0.04931531202375181,0.604,0.049315315,0.4823288600000001,0.501089289902982
11,0.31163636363636366,0.022207139050165556,0.31163636363636366,0.022207139050165563,0.29926038,0.0214681,0.6285000000000001,0.05742603938980991,0.6284999,0.057426035,0.4743376528925619,0.49149689726942825
12,0.31716666666666665,0.023901998986602686,0.31716666666666665,0.023901998986602686,0.3056283,0.021516504,0.6495,0.061771757300565736,0.6494999,0.061771736,0.4668326666666668,0.48261501811634844
13,0.32026923076923075,0.023521581428539374,0.32026923076923075,0.02352158142853937,0.31143934,0.023248011,0.6635,0.061333106883639917,0.66349995,0.061333086,0.4625871834319527,0.47465625897260466
14,0.32532142857142854,0.021471356097206847,0.32532142857142854,0.02147135609720684,0.3151417,0.022650516,0.6809999999999999,0.055163393659201206,0.681,0.0551634,0.45565219387755107,0.4695439264625074
15,0.32999999999999996,0.021323747846525992,0.32999999999999996,0.021323747846525996,0.3203156,0.020870946,0.7,0.04833218389437828,0.6999999,0.048332173,0.4493547022222223,0.46240648075269064
16,0.33315625000000004,0.021699631873317582,0.33315625000000004,0.021699631873317582,0.32881576,0.0210613,0.717,0.04714870093650513,0.7169999,0.0471487,0.4451514609374999,0.4509318647220404
17,0.3390882352941177,0.02433771547338961,0.3390882352941177,0.02433771547338961,0.33515534,0.024066033,0.7355,0.045141444372106654,0.7354999,0.045141403,0.4373966851211072,0.4425975984343262
18,0.3432222222222222,0.024468927133442706,0.3432222222222222,0.024468927133442696,0.33515534,0.024066033,0.7475,0.04202082816889738,0.74749994,0.042020805,0.4319557777777778,0.4425975984343262
19,0.3469736842105263,0.023471427198550207,0.3469736842105263,0.02347142719855021,0.33962685,0.024080157,0.762,0.04009987531152688,0.7619999,0.040099844,0.4269942770083102,0.4366725529105828
20,0.351225,0.022974428719774516,0.351225,0.022974428719774505,0.34347242,0.02319464,0.773,0.0405339363990225,0.7729999,0.040533897,0.42143682499999996,0.43156645311444564
21,0.3549523809523809,0.022583079171198225,0.3549523809523809,0.02258307917119824,0.34784973,0.022603916,0.781,0.03953479480154161,0.7809999,0.03953477,0.4165964263038549,0.4258109160057444
22,0.35863636363636364,0.023750076119930217,0.35863636363636364,0.023750076119930217,0.35190088,0.022228688,0.7969999999999999,0.04013726448077895,0.79699993,0.04013725,0.4119113801652892,0.42052658967796575
23,0.3636304347826087,0.022969106810558804,0.3636304347826087,0.022969106810558786,0.35544726,0.023328185,0.804,0.04363484845854285,0.8039999,0.04363483,0.4054938034026465,0.41599243564601895
24,0.3657083333333333,0.022377715539745744,0.3657083333333333,0.02237771553974573,0.3606776,0.0225952,0.8165,0.03596873642484538,0.8164999,0.035968725,0.4028266805555556,0.4092436743799368
25,0.37128,0.02110560115230079,0.37128,0.021105601152300788,0.36290437,0.022204617,0.829,0.031096623610932416,0.8289999,0.031096626,0.39573428479999995,0.4063838870035035
26,0.37423076923076926,0.020829826134769684,0.37423076923076926,0.020829826134769667,0.36854422,0.02092313,0.8370000000000001,0.02924038303442688,0.8369999,0.029240374,0.39202101183431953,0.3991741783010099
27,0.3781296296296296,0.020584455826509602,0.3781296296296296,0.020584455826509612,0.37146038,0.020570537,0.8465,0.0323071199583002,0.8464999,0.032307126,0.38714647736625524,0.3954852032040357
28,0.3814464285714285,0.021001510817859097,0.3814464285714286,0.02100151081785911,0.37580252,0.020404162,0.8540000000000001,0.030919249667480598,0.85399985,0.030919256,0.3830495841836735,0.3900388277199909
29,0.3859137931034483,0.020995830796147415,0.3859137931034483,0.020995830796147412,0.37887698,0.020876814,0.861,0.027838821814150136,0.86099994,0.027838813,0.3775426944114149,0.38622964224279954
30,0.38906666666666667,0.0211310198523403,0.38906666666666667,0.021131019852340303,0.383395,0.020960238,0.866,0.024979991993593614,0.8659999,0.024979994,0.3736860577777778,0.3806410743834343
31,0.3920967741935484,0.021448750718588188,0.3920967741935484,0.021448750718588185,0.38684133,0.020984905,0.8734999999999999,0.024077998255669034,0.8734999,0.024077991,0.37000638085327786,0.3764039245509432
32,0.39532812500000003,0.02135213849616415,0.39532812500000003,0.02135213849616415,0.3931099,0.021214321,0.8785000000000001,0.021348302040209214,0.8784999,0.021348303,0.36608399023437493,0.36876565570018105
33,0.3989848484848485,0.022518551682571077,0.3989848484848485,0.022518551682571063,0.3969964,0.022343522,0.885,0.021424285285628567,0.8849999,0.021424308,0.36172629752066116,0.3641125640827534
