k,density_naeem_mean,density_naeem_std,weighted_density_mean,weighted_density_std,weighted_density_threshold_mean,weighted_density_threshold_std,coverage_mean,coverage_std,weighted_coverage_mean,weighted_coverage_std,mse_weighted_density,mse_weighted_density_threshold
1,0.0015400000000000004,0.0030047296051392046,0.0013941154933899465,0.0033483247302096,0.0012237981,0.0028217938,0.0009,0.0014798648586948741,0.0014506255,0.006099085,0.9972249238497278,0.9975618639170146
2,0.0018900000000000002,0.0025214876561268354,0.002026033514138317,0.004091589744164354,0.0023801622,0.0051258355,0.0022,0.0024738633753705963,0.0026951567,0.0064916755,0.9959687788901583,0.9952716148716984
3,0.0027533333333333333,0.0030574571860362072,0.0025718410831441947,0.003696444558563068,0.0041509853,0.012373746,0.00456,0.003656008752724753,0.0050373906,0.007593689,0.994876595902643,0.9918683697211589
4,0.0034500000000000004,0.003185514087239295,0.004122805222552403,0.00791347703263513,0.0066302735,0.015806,0.006800000000000001,0.004326661530556788,0.00955091,0.018780975,0.9918340101965444,0.9870332430935157
5,0.004136,0.0034752703491958722,0.004546257997887813,0.006697234876845977,0.0083222315,0.019389225,0.0097,0.005324471804789654,0.013376168,0.021088958,0.9909730054210035,0.9838007386587364
6,0.004816666666666667,0.003651902091908939,0.005033417858083897,0.005710777571166327,0.010193007,0.022129176,0.01288,0.0063894913725585385,0.016360128,0.021868812,0.9899911125596337,0.9802075836703538
7,0.005802857142857142,0.00411382834759417,0.006329617088017368,0.006764548998483341,0.012334959,0.027308943,0.017,0.007432361670424818,0.02883704,0.07909926,0.987426588999599,0.9762280122840541
8,0.006755000000000001,0.004544499422378663,0.00711260314400165,0.006604905917206429,0.014301273,0.031016888,0.020979999999999995,0.008856613348227413,0.031909253,0.07913141,0.985869007617656,0.9725640277016446
9,0.007631111111111112,0.0049351568201533545,0.007947871048706432,0.007171493211198337,0.017043605,0.035830803,0.024980000000000002,0.009713886966606109,0.03733714,0.08063796,0.9842188568716723,0.9674871200393087
10,0.008598,0.005475727896818833,0.009365873035891504,0.008513201729072554,0.019637661,0.040936336,0.02874,0.010938573947274845,0.042741757,0.08246972,0.9814284481096213,0.9627860991623619
11,0.009636363636363636,0.005839449764636991,0.010847820435915163,0.009485223091141984,0.022306938,0.04592952,0.03388,0.011626934247685414,0.049702417,0.0828918,0.9785120037934683,0.9579932448577363
12,0.010756666666666666,0.006430198718201138,0.012354935863260435,0.011518994950947865,0.024592945,0.052039757,0.038439999999999995,0.012757993572658673,0.054554924,0.08460345,0.9755754599583444,0.9541270585935807
13,0.011767692307692307,0.0067912402680731475,0.013672947765083735,0.01275225235441944,0.027837124,0.057599947,0.04338000000000001,0.013554910549317544,0.060778987,0.09444893,0.97300367391053,0.9484184117977874
14,0.012904285714285715,0.007238222101018555,0.015034265218344228,0.01431933076633296,0.030499876,0.06395621,0.04866000000000001,0.01443621834138013,0.06545893,0.09435195,0.9703625419275625,0.9440208880046761
15,0.014033333333333333,0.007710019455228372,0.01685103807444382,0.017300296961418965,0.034069654,0.07090607,0.05402000000000001,0.015206564372007242,0.069982044,0.09453528,0.966881181610252,0.9380491049744633
16,0.015170000000000001,0.008158709303560214,0.01852325020324936,0.020812275723058767,0.03671913,0.07256903,0.05952000000000001,0.016206467844660045,0.07607395,0.095063835,0.963729761212366,0.9331763014990406
17,0.016396470588235294,0.008632114416987212,0.0200029855214471,0.022494748905905977,0.039438352,0.07839517,0.06507999999999999,0.01718003492429512,0.08271603,0.095106974,0.9609001621152169,0.9288244824221688
18,0.017702222222222223,0.009203687935004005,0.022144724437058477,0.026662930229431545,0.042675905,0.08468481,0.07048000000000001,0.01791339163865961,0.08922124,0.09444406,0.9569118517946957,0.9236409407059698
19,0.019098947368421052,0.00979343802016675,0.024978736692929663,0.0312304545017565,0.045627665,0.091216244,0.07662000000000001,0.01886307504093646,0.09546337,0.09520881,0.9516418051893015,0.9191469575288004
20,0.020435000000000002,0.010200317397022507,0.02707247806984306,0.034765472603925276,0.048342638,0.09785233,0.08325999999999999,0.019213859581042016,0.11360884,0.11723781,0.9477966010145303,0.9152268125186156
21,0.02182761904761905,0.010746948688927893,0.028970735480973175,0.0380550460169492,0.050935525,0.099929325,0.08914,0.02047096480383863,0.12098844,0.11726589,0.9443460190797143,0.9107092466086953
22,0.023265454545454547,0.011527908499817533,0.030449140245284178,0.038255745713850535,0.054081403,0.10700608,0.09573999999999999,0.022033892075618414,0.12996499,0.11678273,0.9414923717312313,0.9062122945378177
23,0.024612173913043472,0.012111397996790996,0.031825417103707274,0.03831790116256388,0.057226863,0.11218433,0.1015,0.022698678375623546,0.14191101,0.11922281,0.9388302845159144,0.9014065116083103
24,0.026206666666666666,0.012766234109295244,0.03424638484739872,0.04177494384014823,0.06021788,0.11912374,0.10798,0.0234375681332343,0.15028356,0.118453965,0.9344251911131662,0.8973808988237839
25,0.0277576,0.013329605929658987,0.035797544782884015,0.0429439961210148,0.06387777,0.12612309,0.11398000000000001,0.02465359203037156,0.15708022,0.1189373,0.9315305614495563,0.8922318659975152
26,0.029226923076923077,0.01389126146073186,0.03748447179420567,0.04231710237029371,0.067130424,0.13140655,0.12064,0.025563849475382223,0.16631548,0.118111834,0.9282268791902972,0.8875133273311763
27,0.03079037037037037,0.01440298343960692,0.03944275119823862,0.043411718221746616,0.071082674,0.13959682,0.12774000000000002,0.026891864940907315,0.17424251,0.11807929,0.9245548055045733,0.8823746715525398
28,0.03240714285714285,0.014954916944481051,0.04176266528237413,0.04520213740006315,0.07434839,0.14681698,0.13458,0.027390940107999216,0.18294841,0.12073219,0.9202620228722735,0.8783861310648753
29,0.0340048275862069,0.015530762706631724,0.043621015506480745,0.045840440382827564,0.0782412,0.15377244,0.14160000000000003,0.028851343122981293,0.19460155,0.12576868,0.9167621079553466,0.8732852521333365
30,0.035628,0.016095095678152673,0.04599485010370003,0.047208813220091475,0.08193327,0.1608228,0.14858,0.03012015272205637,0.20231368,0.12503204,0.9123544980743111,0.868710495178636
