k,density_naeem_mean,density_naeem_std,weighted_density_mean,weighted_density_std,weighted_density_threshold_mean,weighted_density_threshold_std,coverage_mean,coverage_std,weighted_coverage_mean,weighted_coverage_std,mse_weighted_density,mse_weighted_density_threshold
1,0.23049999999999998,0.03314739808793444,0.23050001128631303,0.03314739963471176,0.16296044,0.13922854,0.123875,0.016270659943591722,0.32923388,0.14878525,0.5932289827329077,0.7200198104591573
2,0.23781249999999998,0.02489783813406297,0.26659560058116544,0.04732214261985356,0.21944815,0.16474658,0.213375,0.022745535276181127,0.43747258,0.12994304,0.5401213982690353,0.6364026305777806
3,0.24241666666666667,0.022027602633463716,0.28651758048229653,0.06782892269686976,0.25466996,0.17201874,0.2835,0.018967076738390654,0.5019681,0.11412767,0.5136579257150541,0.5851073085983991
4,0.24759375,0.020986765733135248,0.30256271311384064,0.08667216877803209,0.2731551,0.17958471,0.341625,0.02213841401275168,0.546283,0.105390415,0.49393083397981463,0.5605541874047191
5,0.25222500000000003,0.021598596597927382,0.3064810219653781,0.08925413585258593,0.2833821,0.1597039,0.385625,0.022991506583954,0.5776328,0.09910679,0.4889348736609783,0.5390465660155934
6,0.25793750000000004,0.019901569853629356,0.31822925659249157,0.09451889732588248,0.29746288,0.16657275,0.42737500000000006,0.02540392440155654,0.6075497,0.09207435,0.4737451685181274,0.5213048859397453
7,0.2621785714285714,0.01987637172778836,0.3260095580115233,0.09933664031460172,0.31167167,0.17582999,0.46249999999999997,0.026762847382145273,0.6321328,0.08733367,0.4641308840008147,0.5047120719398812
8,0.26596875,0.019109445267654953,0.32591635582726686,0.08549799692851562,0.32237107,0.17903388,0.49287499999999995,0.02806215200229662,0.65399235,0.08167048,0.46169866681998034,0.49123410059843664
9,0.27105555555555555,0.01839174197403569,0.33345252781855883,0.09291151633432307,0.328214,0.18052007,0.518,0.0294108823397055,0.6711558,0.07839874,0.4529180825390123,0.4838839420146748
10,0.27525,0.019538615611142982,0.33714889099825346,0.08802905055440706,0.33589455,0.18712735,0.5415,0.027399817517640503,0.68720657,0.07461941,0.44712070644635565,0.47605268701937664
11,0.27701136363636364,0.018643121695956607,0.33915331475881727,0.08934709001249151,0.34049392,0.18458834,0.563625,0.027858739652037362,0.7021365,0.071870856,0.4447012438879591,0.4690211302504963
12,0.2811666666666667,0.019264604849308482,0.34192317888446355,0.08679025525998667,0.3489884,0.1906783,0.583375,0.026388622074674517,0.71561646,0.06877334,0.4405976508976234,0.4601743002674681
13,0.28451923076923075,0.018451750209636384,0.34486858572514534,0.08375580438391829,0.35307056,0.19566122,0.6014999999999999,0.027299267389437405,0.7284448,0.065172,0.43621220473776845,0.4568010186241942
14,0.2876160714285714,0.018268038244459113,0.35036514964197796,0.08918947509986609,0.36027703,0.20049013,0.620125,0.026471387855569652,0.74166846,0.061062343,0.4299802012682793,0.4494417744248489
