k,density_naeem_mean,density_naeem_std,weighted_density_mean,weighted_density_std,weighted_density_threshold_mean,weighted_density_threshold_std,coverage_mean,coverage_std,weighted_coverage_mean,weighted_coverage_std,mse_weighted_density,mse_weighted_density_threshold
1,0.30240000000000006,0.12538835671624377,0.6027725537063088,0.5155351437332296,0.23416881,0.22265306,0.22240000000000001,0.08105701696953818,0.28514108,0.11043422,0.423566128513049,0.6360717938730807
2,0.35440000000000005,0.10315347788610912,0.6652491956089213,0.4459932553182444,0.4391891,0.30650592,0.3932,0.09139890590154785,0.4544561,0.11070799,0.31096808482983895,0.408454741790103
3,0.44013333333333343,0.11253041070454393,0.6604878245809687,0.35246914764105247,0.47898036,0.28972307,0.5236,0.087287112450808,0.6044634,0.07607066,0.23950301729657314,0.355400918198459
4,0.4496,0.10617834054080898,0.6784562312215069,0.3338202888033178,0.5234351,0.2920507,0.6195999999999999,0.08569620761737358,0.68667656,0.07200993,0.21482638045700755,0.31240769476266905
5,0.44472,0.09901334051530633,0.6714193003007414,0.3254307128866733,0.52727956,0.29264203,0.6875999999999999,0.0904557350310084,0.7426627,0.07562155,0.21387042510478277,0.3091039684831891
6,0.4493333333333333,0.09746110335239729,0.6774982923756775,0.3263695709068365,0.5278017,0.27504253,0.7539999999999999,0.0912797896579522,0.7979605,0.07528541,0.21052444823451658,0.2986196313759457
7,0.43685714285714283,0.0944340823980799,0.6240350050359559,0.29647896731634754,0.55431104,0.2631524,0.8128000000000002,0.09429825024887788,0.84619766,0.07788953,0.2292494554992816,0.26788783462285437
8,0.4590500000000002,0.0909716851553273,0.6399991565355408,0.2828576294471088,0.560696,0.2516496,0.8388000000000001,0.08862595556607555,0.86772,0.07280032,0.20960904583155993,0.25631552038716165
9,0.5092,0.09443425827422203,0.6838749756834928,0.27634588328551535,0.61113113,0.25214028,0.878,0.07533923280734944,0.8999215,0.06180235,0.17630207820796398,0.21479371322135776
10,0.5072800000000001,0.09297807053278746,0.6714625980593573,0.26185599587547176,0.59561425,0.23141368,0.8999999999999999,0.06985699678629191,0.91796845,0.057305057,0.17650538704984253,0.2170801197461607
11,0.5248,0.09311204305557617,0.6778935740064531,0.24237113830871973,0.6183823,0.23028332,0.9259999999999999,0.05969924622639719,0.9392967,0.048972163,0.16249631835140083,0.19866249687325777
12,0.5639666666666666,0.09442656758914127,0.720494440128418,0.2422545708025344,0.6223881,0.22150461,0.9611999999999999,0.04361834476455978,0.9681718,0.035780814,0.13681063507384666,0.1916550220481099
13,0.5761538461538461,0.09398010616630302,0.7338906999300088,0.23372121206310542,0.6245973,0.20852615,0.9760000000000001,0.03298484500494128,0.9803124,0.02705792,0.12543976455198771,0.18441033187906442
14,0.5923142857142857,0.08937578999222716,0.7326194587264431,0.21155202671348805,0.65676415,0.19938995,0.9788,0.029095704150269325,0.9826094,0.023867637,0.11624661385832465,0.15756720289915904
15,0.6195466666666666,0.09006392199124157,0.7420314860512781,0.20271043962737612,0.6445021,0.1911431,0.9852000000000001,0.024432764886520724,0.98785937,0.020042514,0.107639276522836,0.16291443855704202
16,0.61855,0.08866522711863993,0.730088839582406,0.19027506471392178,0.6538996,0.18375874,0.9888000000000001,0.020458738964071084,0.99081254,0.016782513,0.10905663476985927,0.1535527517156119
17,0.6294117647058823,0.0851293337235034,0.7400602126046225,0.17826364648781504,0.682611,0.18228056,0.9924000000000001,0.016680527569594445,0.9937657,0.0136832,0.09934662073028674,0.13396198772011303
18,0.640911111111111,0.08157165750824226,0.7340970761482842,0.1639085644124842,0.68399614,0.17468302,0.9948,0.013452137376640201,0.9957344,0.011034915,0.09757038240065283,0.13037259537600576
19,0.6708421052631579,0.07867905281458688,0.7611670570864437,0.1509338515674096,0.70616233,0.15609096,0.9984000000000001,0.007838367176906176,0.9986875,0.006429891,0.07982220216972287,0.11070496001481445
20,0.69774,0.07437830597694464,0.777376959887887,0.13422025782219266,0.72751164,0.14427109,1.0,0.0,1.0,2.4575625e-08,0.06757609559861533,0.09506405080406921
21,0.7362857142857143,0.07107665690268912,0.8098822114831288,0.12193148380685039,0.7481446,0.12917306,1.0,0.0,1.0,2.4575625e-08,0.05101206025388599,0.08011680865661219
22,0.7790545454545454,0.06505051057155381,0.8452791649805671,0.1028005981839824,0.7803573,0.11748638,1.0,0.0,1.0,2.4575625e-08,0.034506499776095184,0.06204596411135199
23,0.830017391304348,0.05662285003033365,0.8854558456116489,0.07862374991230685,0.82912886,0.0952362,1.0,0.0,1.0,2.4575625e-08,0.01930205735481538,0.03826687955314867
